entity	entity_count	similar_entity	similar_entity_count	dice_score	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Hall and Nightingale, 20 Upper Baker Street, London.	1	0.7021276595744681	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 20 Upper Baker Street. London.	1	0.9534883720930233	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Ernest Edwards, 20 Baker Street, London.	1	0.6585365853658537	
William Meredith, 137 Clapham Road, London.	1711	Willliam Meredith, 137 Clapham Road, London.	13	0.9882352941176471	
William Meredith, 137 Clapham Road, London.	1711	William Meredtih, 137 Clapham Road, London.	14	0.9285714285714286	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 139, Clapham Road, London.	2	0.9411764705882353	
William Meredith, 137 Clapham Road, London.	1711	William Joseph Smith, 17 Chelsham Road, Clapham, London.	2	0.7010309278350515	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 139 Clapham Rd, London.	1	0.9024390243902439	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 137, Clapham Road, London, SW.	33	0.898876404494382	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 1347, Clapham Road, London, SW.	1	0.8666666666666667	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 139, Clapham Road, London, SW.	1	0.8764044943820225	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 137 Clapham Road, London, SW.	81	0.9318181818181818	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 137, Clapham Road, London, S.W.	1	0.8888888888888888	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 137 Clapham Road, London, S.W.	36	0.9213483146067416	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 137, Clapham Road, London, S.W..	3	0.8791208791208791	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 137 Clapham, Road, London.	6	0.9647058823529412	
William Meredith, 137 Clapham Road, London.	1711	William Tear, 12 Clapham Road, London.	1	0.759493670886076	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 137, Clapham Road, London.	86	0.9647058823529412	
William Meredith, 137 Clapham Road, London.	1711	William Prior, 137 Clapham Road, London.	3	0.8148148148148148	
William Meredith, 137 Clapham Road, London.	1711	Arthur Dell, 137 Clapham Road, London.	2	0.7088607594936709	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 139 Clapham Road, London.	19	0.9523809523809523	
William Meredith, 137 Clapham Road, London.	1711	Leonard Pinder, 137 Clapham Road, London.	2	0.6585365853658537	
William Meredith, 137 Clapham Road, London.	1711	William Meredith 137 Clapham Road, London.	17	0.963855421686747	
William Meredith, 137 Clapham Road, London.	1711	Edwin Barker, 137 Clapham Road, London.	2	0.675	
William Meredith, 137 Clapham Road, London.	1711	William Prior, 137 Clapham road, London.	1	0.7654320987654321	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 137 Clapham Road, London SW.	68	0.9425287356321839	
William Meredith, 137 Clapham Road, London.	1711	William Prior, 139 Clapham Road, London.	2	0.7654320987654321	
William Meredith, 137 Clapham Road, London.	1711	Joseph Carver, 137 Clapham Road, London.	4	0.6666666666666666	
William Meredith, 137 Clapham Road, London.	1711	William Prior, 139 Clapham Road, London SW.	1	0.7142857142857143	
William Meredith, 137 Clapham Road, London.	1711	William Meridith, 139 Clapham Road, London.	11	0.9047619047619048	
William Meredith, 137 Clapham Road, London.	1711	William Meredith, 107 Clapham Road, London.	2	0.9523809523809523	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell and Charles William Ramié, 316 -317 Oxford Street, London.	2	0.672	
William Axon Mansell, 405 Oxford Street, London.	1079	William Kilsby, 31 New Oxford Street, London.	1	0.6593406593406593	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell, 405, Oxford Street, London.	103	0.968421052631579	
William Axon Mansell, 405 Oxford Street, London.	1079	W. A. Mansell and Company, 405 Oxford Street, London, W.	18	0.6666666666666666	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell and Company, 2 Percy Street, London.	244	0.6990291262135923	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell, 405 Oxford Street, London, W.	124	0.9484536082474226	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell and Charles William Ramié, 316-317 Oxford Street, London.	25	0.6774193548387096	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell, 405 Oxford Street, London W.	126	0.9583333333333334	
William Axon Mansell, 405 Oxford Street, London.	1079	William Avon Mansell and Company, 316-317 Oxford Street, London.	3	0.7272727272727273	
William Axon Mansell, 405 Oxford Street, London.	1079	William M Hay, 20 Newman Street, Oxford Street, London.	1	0.6534653465346535	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell. 405 Oxford Street, London.	207	0.9574468085106383	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell, 408 Oxford Street, London.	3	0.9574468085106383	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell, 495 Oxford Street, London.	66	0.9574468085106383	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell, Charles William Ramié, 316 -317 Oxford Street, London.	1	0.7049180327868853	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axel Mansell, 405 Oxford Street, London.	70	0.9361702127659575	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell and Company, 2 Priory Street, London.	1	0.7115384615384616	
William Axon Mansell, 405 Oxford Street, London.	1079	William Acourt, 12 Oxford Street, London.	1	0.7126436781609196	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axion Mansell, 405 Oxford Street, London.	51	0.968421052631579	
William Axon Mansell, 405 Oxford Street, London.	1079	Axon Mansell and Charles William Ramie, 316-317 Oxford Street, London.	1	0.7068965517241379	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell and Charles William Ramie, 316-317 Oxford Street, London.	1	0.6774193548387096	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell, 271 and 273 Oxford Street, London.	1	0.8431372549019608	
William Axon Mansell, 405 Oxford Street, London.	1079	William Axon Mansell 271 and 273 Oxford Street, London.	4	0.8118811881188119	
Alexander Corbett, 78 Balcombe Street, Dorset Square.	964	Alexander Corbett, 78 balcombe St, Dorset Sq, London.	1	0.7884615384615384	
Alexander Corbett, 78 Balcombe Street, Dorset Square.	964	Alexander Corbett, 78 Balcome St, Dorset Sq, London.	1	0.7961165048543689	
Alexander Corbett, 78 Balcombe Street, Dorset Square.	964	Alexander Corbett, 78 Balcombe St, Dorset Sq, London.	2	0.8269230769230769	
Alexander Corbett, 78 Balcombe Street, Dorset Square.	964	Alexander Corbett, 78 Balcombe Street, Dorset Square, London.	189	0.9107142857142857	
Alexander Corbett, 78 Balcombe Street, Dorset Square.	964	Alexander Corbett,78 Balcombe Street, Dorset Square.	10	0.970873786407767	
Alexander Corbett, 78 Balcombe Street, Dorset Square.	964	Alexander Corbett, 78, Balcombe Street, Dorset Square, London.	190	0.8849557522123894	
Alexander Corbett, 78 Balcombe Street, Dorset Square.	964	Alexander Corbett, 78 Balcome Street, Dorset Square, London.	251	0.8828828828828829	
Alexander Corbett, 78 Balcombe Street, Dorset Square.	964	Alexander Corbett, 78 Balcombe Street. Dorset Square.	1	0.9615384615384616	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Joseph Causton and Sons, Limited, Eastcheap, London.	1	0.9158878504672897	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	0.9454545454545454	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton & Sons, Limited, 9, Eastcheap, London, EC.	26	0.8448275862068966	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Cawston & Sons, Limited, 9, Eastcheap, London.	1	0.8571428571428571	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons, Limited, 9 Eastcheap, London, EC.	15	0.9230769230769231	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons, Limited, 9 Eastcheap, London, E.C.	16	0.9152542372881356	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons, Limited, 9 Eastcheap, London.	63	0.9734513274336283	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons, Limited, 9, Eastcheap, London.	33	0.9473684210526315	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton & Sons Limited, 9 Eastcheap. London.	43	0.9090909090909091	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton &amp; Sons, Limited, 9, Eastcheap, London.	30	0.8620689655172413	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons, Limited, 9 Eastcheap, London E.C.	1	0.9230769230769231	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons Limited, 9 Eastcheap, London, E.C.	23	0.9401709401709402	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton & Sons, Limited, 9, Eastcheap, London.	63	0.8928571428571429	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton & Sons, Limited, 9 Eastcheap, London.	98	0.918918918918919	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons Limited, 9 Eastcheap, London, EC.	51	0.9482758620689655	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons Limited, 9 Eastcheap, London EC.	46	0.9565217391304348	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons, 47 Eastcheap, London.	6	0.8571428571428571	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Canston & Sons Limited, 9 Eastcheap, London.	29	0.9272727272727272	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons Limited, 9, Eastcheap, London.	5	0.9734513274336283	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons, 47 East Cheap, London.	8	0.8113207547169812	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton and Sons, Limited, 9, Eastcheap, London, EC.	6	0.8983050847457628	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Caiston and Sons, Limited, 9 Eastcheap, London.	3	0.9380530973451328	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton &amp; Sons Limited, 9 Eastcheap, London.	122	0.9122807017543859	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton &amp;amp; Sons Limited, 9 Eastcheap, London.	2	0.8813559322033898	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton & Sons Limited, 9 Eastcheap, London EC.	38	0.9026548672566371	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton & Sons, 9 Eastcheap, London EC.	3	0.8	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causton & Sons Limited, 9 East Cheap, London.	29	0.9009009009009009	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Joseph Causton and Sons, 47 Eastcheap, London.	4	0.8118811881188119	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	William Meredith, c/o Sir Joseph Couston and Sons Limited, 9 Eastcheap, London.	1	0.8059701492537313	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Joseph Causton & Sons Limited, 9 Eastcheap, London.	1	0.9056603773584906	
Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	Sir Joseph Causten & Sons Limited, 9 Eastcheap, London.	5	0.9090909090909091	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Marcus Ward and Company, 67 Chandos Street, Strand, London.	3	0.8828828828828829	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Marcus Ward and Company, 67 and 68 Chamber Street, Convent Gardens, London.	1	0.7559055118110236	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Marcus Ward and Company, 67 and 68 Chandos Street, Convent Gardens, London.	3	0.8031496062992126	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Francis Ward and Company, 67 Chandos Street, London.	1	0.8461538461538461	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Marcus Ward and Company, 67-68 Chandos Street, Covent Garden, London.	12	0.8760330578512396	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Charles Morgan and Company, 58 Cannon Street, London.	3	0.6666666666666666	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Grosvenor Chater and Company, 68 Cannon Street, London.	1	0.6728971962616822	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	SB Bolas and Company, 68 Oxford Street, London.	2	0.6868686868686869	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Marcus Ward and Company, 67 Chandos Street, London.	3	0.9514563106796117	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Marcus Ward and Company, 67 Chandos Street, Covent Garden, London.	79	0.8305084745762712	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Marcus Ward, 67-68 Chandos Street, London.	56	0.851063829787234	
Marcus Ward and Company, 67-68 Chandos Street, London.	661	Marcus Ward and Company , 67 and 68 Chandos Street, London.	1	0.9009009009009009	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 4, Francis Road, Watford.	97	0.9690721649484536	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 18 Cassio Road, Watford, Herts.	41	0.7184466019417476	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernset Litchfield Vasey, 4 Francis Road, Watford.	12	0.9375	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 4 Francis Road, Watford, [Hertfordshire].	1	0.831858407079646	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Lichfield Vasey, 4 Francis Road, Watford, Hertfordshire.	1	0.8181818181818182	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 4 Francis Road, Watford, Herts.	29	0.912621359223301	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 11 Francis Road, Watford, Hertfordshire.	30	0.8035714285714286	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 18 Cassio Road, Watford, Hertfordshire.	54	0.6666666666666666	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 4 Francis Road, Watford, Hertfordshire.	84	0.8468468468468469	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 4 Francis Road Watford.	1	0.968421052631579	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield, 4 Francis Road, Watford.	4	0.9111111111111111	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey. 4 Francis Road, Watford.	14	0.9583333333333334	
Ernest Litchfield Vasey, 4 Francis Road, Watford.	642	Ernest Litchfield Vasey, 4 Francis Road,Watford, Hertfordshire.	1	0.8363636363636363	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company, 2 St Swithin Street, Aberdeen.	52	0.9122807017543859	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson & Company, 2 St Swithin Street, Aberdeen.	35	0.8571428571428571	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson &amp; Company, 2 St Swithin Street Aberdeen.	39	0.8	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson &amp; Company, 2 St Swithin Street, Aberdeen.	23	0.8275862068965517	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company Limited, 2 Saint Swithin Street, Aberdeen.	418	0.96	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company Limited, St Swithin Street, Aberdeen.	10	0.9833333333333333	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G.W. Wilson & Company, 2 St Swithin Street, Aberdeen.	81	0.7964601769911505	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	B W Wilson and Co, 2 St Swithin Street, Aberdeen.	1	0.8440366972477065	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson & Company Limited, 2 St Swithin Street, Aberdeen.	159	0.95	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson &amp; Company Limited, 2 St Swithin Street, Aberdeen.	1	0.9193548387096774	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson & Company, 2, St Swithin Street, Aberdeen.	16	0.831858407079646	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company Limited. St Swithin Street, Aberdeen.	2	0.95	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G N Wilson and Company Limited, St Swithin Street, Aberdeen.	2	0.95	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	GW Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	24	0.9752066115702479	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson & Company Limited, 2 Saint Swithin Street, Aberdeen.	66	0.9105691056910569	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	GW Wilson, 2 Saint Swithin Street, Aberdeen.	315	0.7115384615384616	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	GW Wilson and Company Limited, 2 Saint Swithin Street, Aberdeen.	28	0.9354838709677419	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company Limited, in liquidation, 2 St Swithin Street, Aberdeen.	2	0.8840579710144928	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company, St Swithin Street, Aberdeen, Scotland.	18	0.8032786885245902	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson & Co Limited, 2 St Swithin Street, Aberdeen.	1	0.8869565217391304	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson, 2 St Swithin Street, Aberdeen.	5	0.7843137254901961	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson & Company Limited, in liquidation, 2 Saint Swithin Street, Aberdeen. John Hay Wilson, Liquidator.	8	0.6666666666666666	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company Limited, 2, St Swithin Street, Aberdeen.	6	0.975609756097561	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson & Co, 2 St Swithin Street, Aberdeen.	19	0.8037383177570093	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company Limited 2 St Swithin Street, Aberdeen.	217	0.9752066115702479	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Company Limited, 2 St Swithin Stret, Aberdeen.	1	0.9917355371900827	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	G W Wilson and Compan Limited, 2 St Swithin Street, Aberdeen.	169	0.9752066115702479	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	George Washington Wilson and Company, St Swithin's Street, Aberdeen, Scotland.	4	0.6811594202898551	
G W Wilson and Company Limited, 2 St Swithin Street, Aberdeen.	633	GW Wilson & Company, 2 St Swithin Street, Aberdeen.	4	0.8288288288288288	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons Limited, 9 Eastcheap, London.	824	0.9454545454545454	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Joseph Causton and Sons, Limited, Eastcheap, London.	1	0.8571428571428571	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton & Sons, Limited, 9, Eastcheap, London, EC.	26	0.8947368421052632	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Cawston & Sons, Limited, 9, Eastcheap, London.	1	0.9090909090909091	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons, Limited, 9 Eastcheap, London, EC.	15	0.8695652173913043	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons, Limited, 9 Eastcheap, London, E.C.	16	0.8620689655172413	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons, Limited, 9 Eastcheap, London.	63	0.918918918918919	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons, Limited, 9, Eastcheap, London.	33	0.8928571428571429	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton & Sons Limited, 9 Eastcheap. London.	43	0.9629629629629629	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton &amp; Sons, Limited, 9, Eastcheap, London.	30	0.8947368421052632	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons, Limited, 9 Eastcheap, London E.C.	1	0.8695652173913043	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons Limited, 9 Eastcheap, London, E.C.	23	0.8869565217391304	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton & Sons, Limited, 9, Eastcheap, London.	63	0.9454545454545454	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton & Sons, Limited, 9 Eastcheap, London.	98	0.9724770642201835	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons Limited, 9 Eastcheap, London, EC.	51	0.8947368421052632	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons Limited, 9 Eastcheap, London EC.	46	0.9026548672566371	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons, 47 Eastcheap, London.	6	0.7961165048543689	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Canston & Sons Limited, 9 Eastcheap, London.	29	0.9629629629629629	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons Limited, 9, Eastcheap, London.	5	0.918918918918919	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons, 47 East Cheap, London.	8	0.75	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton and Sons, Limited, 9, Eastcheap, London, EC.	6	0.8448275862068966	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Caiston and Sons, Limited, 9 Eastcheap, London.	3	0.8828828828828829	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton &amp; Sons Limited, 9 Eastcheap, London.	122	0.9464285714285714	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton &amp;amp; Sons Limited, 9 Eastcheap, London.	2	0.9137931034482759	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton & Sons Limited, 9 Eastcheap, London EC.	38	0.954954954954955	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton & Sons, 9 Eastcheap, London EC.	3	0.8543689320388349	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causton & Sons Limited, 9 East Cheap, London.	29	0.9541284403669725	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Joseph Causton and Sons, 47 Eastcheap, London.	4	0.7474747474747475	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	William Meredith, c/o Sir Joseph Couston and Sons Limited, 9 Eastcheap, London.	1	0.7575757575757576	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Joseph Causton & Sons Limited, 9 Eastcheap, London.	1	0.9615384615384616	
Sir Joseph Causton & Sons Limited, 9 Eastcheap, London.	560	Sir Joseph Causten & Sons Limited, 9 Eastcheap, London.	5	0.9629629629629629	
Alexander Corbett, 55 Gloucester Place.	544	Alexander Corbett, 55 Gloucester Place, London.	415	0.8809523809523809	
William Edward Downey, 61 Ebury Street, London.	522	W and D Downey, 57 and 61 Ebury Street, London.	47	0.717391304347826	
William Edward Downey, 61 Ebury Street, London.	522	William Downey, of 57 and 61 Ebury Street, Pimlico, London.	1	0.7692307692307693	
William Edward Downey, 61 Ebury Street, London.	522	William Edward Downey, of 61 Ebury Street, London.	1	0.968421052631579	
William Edward Downey, 61 Ebury Street, London.	522	Arthur James Hope Downey, 61 Ebury Street, London.	84	0.6947368421052632	
William Edward Downey, 61 Ebury Street, London.	522	Arthur James Hope Downey, 61Ebury Street, London.	5	0.6595744680851063	
William Edward Downey, 61 Ebury Street, London.	522	William Edward Downey, 57 and 61 Ebury Street, London.	72	0.9292929292929293	
William Edward Downey, 61 Ebury Street, London.	522	William Edward Downey of the firm of W and B Downey, 57 and 61, Ebury Street, London, SW.	1	0.6567164179104478	
